title,dod,name,born,awards,Occupation,Filmography
Pranitha Subhash,,"ಪ್ರಣಿತ ಸುಭಾಷ್,Pranitha Subhash",17-10-1992,,,
Prasanna (actor),,Prasanna Venkatesan,,,Film actor,
Prashanth (actor),,Prashanth Thiagarajan,,,Film actor,
Prathyusha,,,,,Film actor,
Praveen Gandhi,,,,,,
Preeti Jhangiani,,,,,"Actress,Model (person)",
Preetika Rao,,,29-05-1988,,,
Preity Zinta,,,31-01-1975,,,
Prithviraj Sukumaran,,Prithviraj Sukumaran,16-10-1982,,Playback singer,
Priya Anand,,,17-09-1986,,"Actress,Model (person)",
Priya Gill,,,9/12/1971,,,
Priya Raman,,,,,,
Priyadarshini (actress),,Priyadharshini Neelakandan,,,Actress,
Priyamani,,Priya Vasudev Mani Iyer,4/6/1984,,,
Priyanka,,,,,,
Priyanka Chopra,,,18-07-1982,,,
Priyanka Kothari,,Priyanka Kothari,30-11-1983,,,
Priyanka Upendra,,Priyanka Trivedi,,,,
R. K. (actor),,,,,,
R. Madhavan,,Madhavan Balaji Ranganathan,1/6/1970,,,
R. Muthuraman,,,,,,
R. Parthiepan,,Radhakrishnan Moorthi,15-11-1957,,,
R. Sarathkumar,,Ramanathan Sarathkumar,14-07-1954,,,
Raadhika Sarathkumar,,,21-08-1963,,"Actress,Film producer",
Raaghav,,Venkataraghavan Ranganathan,,,,
Raai Laxmi,,Lakshmi Raibagi,5/5/1989,,"Actress,Model (person)",
Raasi (actress),,,,,,
Rachana Maurya,,Rachana Maurya,,,,
Radha (actress),,,3/6/1965,,,
Radha Ravi,,Madras Rajagopal Radhakrishnan Ravi,29-07-1952,,Actor,
Raghava Lawrence,,Raghav Murugaiyan,9/1/1976,,"Film actor,Film Director,Dancer,Choreographer,Music Composer,Philanthropist",
Raghuvaran,19-03-2008,,,,,
Ragini Dwivedi,,Ragini Dwivedi,24-05-1990,,,
Rahman (actor),,Rashin Rahman,23-05-1967,,,
Rahul Dev,,Rahul Dev Samra,27-09-1968,,Film actor,
Rahul Ravindran,,Rahul Ravindran,23-06-1981,,Film actor,
Raja (Tamil actor),,,,,,
Raja Abel,,,9/11/1978,,,
Rajakumaran (director),,,,,,
Rajesh (actor),,,20-12-1949,,,
Rajinikanth,,,12/12/1950,,,
Rajiv Krishna,,Rajiv Gopalakrishna Menon,,,Film actor,
Rajkiran,,,26-08-1954,,,
Raju Sundaram,,Rajendra Sundaram,7/3/1968,,,
Rakshita,,Shwetha,31-03-1984,,,
Ramana (actor),,Amar Ramana,,,Film actor,
Ramarajan,,,18-10-1954,,,
Rambha (actress),,Vijayalakshmi,5/6/1975,,,
Ramesh Aravind,,,,,,
Ramesh Khanna,,,,,,
Ramesh Thilak,,,,,,
Ramya,,Divya Spandana,29-11-1982,,,
Ramya Krishnan,,,15-09-1967,,,
Ramya Raj,,Ramya Rajendran,,,,
Rani Mukerji,,,21-03-1978,,,
Ranjith (actor),,,,,,
Ranjitha,,,4/6/1975,,,
Rati Agnihotri,,Rati Agnihotri,10/12/1960,,"Model (person),Actress",
Ravali,,,,,,
Raveena Tandon,,,,,,
Ravi Krishna,,A. M. Ravi Krishna,2/3/1983,,,
Reemma Sen,,,29-10-1981,,,
Regina Cassandra,,Regina Cassandra,13-12-1988,,Actress,
Rekha (South Indian actress),,Josephine,18-05-1970,,Film actress,
Remya Nambeesan,,Remya Nambeesan,,,,
Renuka Menon,,,,,,
Revathi,,Asha Kutty,8/7/1966,,,
Richa Gangopadhyay,,Antara 'Richa' Gangopadhyay,20-03-1986,,"Actress,Model (person)",
Richa Pallod,,,30-08-1980,,,
Rishi (actor),,C. Rishi,,,,
Riya Bamniyal,,,,,"Model (person),Actress",
Riya Sen,,Riya Dev Varma,24-01-1983,,,
Robert (choreographer),,,,,Choreographer,
Rohini (actress),,,15-12-1968,,"Lyricist,Screenwriter,Voice actress",
Roja (actress),,Latha Nagaraja Reddy,17-11-1972,,,
Roja Ramani,,,16-09-1959,,,
Roland Kickinger,,,30-03-1968,,,
Roma Asrani,,Roma Asrani,25-08-1984,,,
Rukmini Vijayakumar,,,,,"Actress,Model (person)",
Rupa Manjari,,Sri Rupa Manjari,,,,
Rupini (actress),,Komal Mahuvakar,,,,
S. J. Surya,,Selvaraj Justin Surya,20-07-1968,,,
S. N. Lakshmi,,Lakshmi,,,,
S. P. B. Charan,,Charan Sripathi Panditaradhyula Balasubrahmanyam,7/1/1972,,"Actor,Singer,Film producer,Anchor",
S. P. Balasubrahmanyam,,శ్రీపతి పండితారాధ్యుల బాలసుబ్రహ్మణ్యం,4/6/1946,,,
S. Thaman,,,16-11-1983,,,
S. V. Ranga Rao,,,,,,
S. Ve. Shekher,,Sattanathapuram Venkataraman Sekhar,,,,
Sadha,,Sadaf Mohmad Sayed,,,,
Sai Kumar (Tollywood actor),,Pudipeddi Saikumar,,,,
Sajith Raj,,,28-04-1983,,,
Sakshi Shivanand,,Sakshi Shivanand,,,Actress,
Saloni Aswani,,Vandani Aswani,,,"Actress,Model (person)",
Samantha Ruth Prabhu,,Samantha Ruth Prabhu,28-04-1987,,,
Sameera Reddy,,,,,Actress,
Samiksha Bhatt,,,,,"Actress,Model (person)",
Sampath Raj,,,15-01-1976,,,
Samuthirakani,,,26-04-1973,,"Film director,Film actor,Screenwriter,Voice actor",
Samvrutha Sunil,,Samvritha Sunil,,,Film actress,
Samyuktha Varma,,സംയുക്ത വർമ്മ,,,,
Sana Khan,,,21-08-1987,,,
Sandhya (actress),,Revathy,27-09-1988,,,
Sangeetha (actress),,,,,,
Sanghavi,,Kavya Ramesh,,,,
Sangita,,Sangita,,,,
Sanjana Singh,,,,,Film actor,
Sanjjanaa,,Archana Galrani,,,"Actress,Model (person)",
Santhoshi,,Santhoshi Krishna Moorthy,31-03-1987,,,
Sanusha,,,,,Actress,
Sara Arjun,,,,,Actress,
Sarah-Jane Dias,,,3/12/1983,,"Actress,Musician",
Saranya Bhagyaraj,,,,,,
Saranya Mohan,,,19-02-1989,,,
Saranya Nag,,,,,Film actress,
Saranya Ponvannan,,,26-04-1970,,,
Sarath Babu,,,,,Actor,
Saritha,,Saritha,,,Film actress,
Sathish,,,,,,
Sathyan (Tamil actor),,Sathyan Sivakumar,11/6/1975,,,
Sathyaraj,,Rangaraj,,,,
Savitri (actress),26-12-1981,Savitri Nissankara,6/12/1933,,,
Sayaji Shinde,,,,,"Actor,Film producer",
Sayali Bhagat,,Sayali Bhagat,1/1/1984,,,
Seema (actress),,Shanthakumari,22-05-1957,,Film actress,
Seetha (actress),,,13-07-1964,,"Actor,Film producer",
Senthil (actor),,,23-03-1951,,,
Shaam,,Shamshuddin Ibrahim,4/4/1977,,"Film actor,Model (person)",
Shaji (writer),,,,,,
Shakeela,,C. Shakeela Begum,,,,
Shakthi Vasudevan,,Prashanth Vasudevan,23-02-1983,,,
Shalini Kumar,,,,,Actress,
Shamili,,,10/7/1987,,Actress,
Shamita Shetty,,,,,"Actress,Model (person),Interior design",
Shammu,,Sheerin Ramalingam,,,Actress,
Shamna Kasim,,Shamna Kasim,23-05-1989,,,
Shankar Panicker,,Shankar,13-09-1960,,,
Shanthanu Bhagyaraj,,,24-08-1986,,,
Shanthi Krishna,,,,,Actress,
Sharada (actress),,Saraswati Devi,12/6/1945,,,
Sharbani Mukherjee,,,,,Actress,
Sharmiela Mandre,,,28-10-1989,,,
Shazahn Padamsee,,,,,,
Sheela,,Sheela,22-03-1945,,,
Sherin,,Sherin Shringar,5/5/1986,,,
Shilpa Shetty,,Shilpa Shetty,8/6/1975,,"Actress,Model (person),Film producer",
Shiva (actor),,Shiva,10/12/1982,,"Actor,Radio jockey",
Shoba,1/5/1980,Mahalakshmi Menon,23-09-1962,,,
Shobana,,Shobana Chandrakumar Pillai,,,Mridangam,
Shriya Saran,,Shriya Saran,11/9/1982,,"Actress,Model (profession),Philanthropist",
Shriya Sharma,,,,,,
Shruthi Raj,,,,,,
Shruti (actress),,"ಶ್ರುತಿ,Girija",,,,
Shruti Haasan,,Shruti Haasan,28-01-1986,,Model (person),
Shruti Marathe,,,,,,
Shrutika,,,,,Film actor,
Shubha Phutela,22-10-2012,Shubha Phutela,5/5/1991,,,
Shubha Poonja,,Shubha Poonja,,,"Actress,Model (person)",
Sibiraj,,,,,Actor,
Siddharth (actor),,Siddharth Suryanarayan,17-04-1979,,"Film actor,Film producer,Playback singer",
Silambarasan,,Silambarasan Thesingu Rajendar,,,"Actor,Film director,Playback singer",
Silk Smitha,23-09-1996,Vijayalakshmi,2/12/1960,,,
Simran (actress),,Rishibala Naval,4/4/1976,,,
Sindhu Menon,,Sindhu Menon,,,,
Sindhu Tolani,,,19-07-1983,,Actress,
Sithara (actress),,,30-06-1973,,Actress,
Sivaji Ganesan,21-07-2001,Villuppuram Chinnaiahpillai Ganesan,1/10/1928,,,
Sivakarthikeyan,,சிவகார்த்திகேயன்,17-02-1985,,"Film actor,Stand-up comedian,Television presenter,Singer",
Sivakumar,,Palanichamy,27-10-1941,,,
Sneha (actress),,Suhasini Rajaram Naidu,12/10/1981,,Promotional model,
Snigdha Akolkar,,Snigdha Akolkar,3/5/1985,,,
Sona Heiden,,,1/6/1979,,Actress,
