"","title","dod","name","born","awards","Occupation","Filmography"
"63","Bhavana (actress)","","Karthika Menon","6/6/1986",Na,"","Chanthupottu,Bus_Conductor,C.I.D._Moosa,Chathikkatha_Chanthu,Chinthamani_Kolacase,Hridayathil_Sookshikkan,Kizhakku_Kadalkarai_Salai,Police_(2005_film),Valathottu_Thirinjal_Nalamathe_Veedu,Veyil,Mythri_(2015_film),Daivanamathil,Hero_(2008_film),Ezhamathe_Varavu,Yaare_Koogadali,Angry_Babies_in_Love,Romeo_(2012_film),Arya_(2007_film),Chithiram_Pesuthadi,Rameswaram_(film),Naran_(film),Mahatma_(film),Honey_Bee_(film),Asal_(film),Ivide,Trivandrum_Lodge"
"64","Bhavana Rao","","","",Na,"Film actor","Gaalipata,Vinmeengal"
"65","Bhumika Chawla","","Rachna Chawla","21-08-1978",Na,"Actress","Roja_Kootam,Sillunu_Oru_Kaadhal,Yaariyan_(2008_film),Amaravathi_(2009_film),Gandhi,_My_Father,Yuvakudu,Swagatam,Godfather_(2012_film),Mallepuvvu,Badri_(2001_film),Anasuya_(film),Buddy_(2013_film),Run_(2004_film),Aadanthe_Ado_Type,Tere_Naam,Okkadu,Yagam_(2010_film)"
"66","Biju Menon","","ബിജു മേനോൻ","9/9/1970",Na,"","Pathram,Chinthamani_Kolacase,Keerthi_Chakra_(film),Masters_(film),Baba_Kalyani_(film),Red_Chillies_(film),Ordinary_(film),Hi_I'm_Tony,Majaa,Run_Baby_Run_(2012_film),Ivar_(2003_film),Shivam,3_Dots,Crazy_Gopalan,T._D._Dasan_Std._VI_B,Mazha,Khaddama,Mayamohini,Pranayavarnangal,Vilapangalkkappuram,Mahathma,Spanish_Masala,Chettayees,Kalimannu,Chandranudikkunna_Dikhil,Janakan,Kaliyattam,Achaneyanenikkishtam,Anyar,Kichamani_MBA,Madhuranombarakattu,Meghamalhar,Mr._Marumakan,Azhakiya_Ravanan,Elektra_(2010_film),Dubai_(2001_film),5_Sundarikal,June_R,Khatarnak,Kurukshetra_(2008_film),Aadyathe_Kanmani,Dilliwala_Rajakumaran,Kannezhuthi_Pottum_Thottu,Randam_Bhavam,Photographer_(film),Ranam,Krishnagudiyil_Oru_Pranayakalathu,Mannar_Mathai_Speaking,Oru_Maravathoor_Kanavu,Sesham,Mallu_Singh,Anandabhadram,Snehaveedu,Ulakam_Chuttum_Valiban,Bharathan_Effect,Parayan_Marannathu,Arjunan_Saakshi,College_Days,Pakida,Thambi,Agaram_(film),Pazhani_(film),Arasangam,Robin_Hood:_Prince_of_Thieves_(2009_film),Marykkundoru_Kunjaadu,Alibhabha,Kadhaveedu,Vellimoonga,Ithramathram_(2012_film),Kudamattam,Sneham_(1998_film),Agninakshathram_(2004_film),Kanjirappally_Kuriachan,Puthran,F._I._R._(_film),Bhaiyya_Bhaiyya,Anarkali_(2015_film)"
"67","Bindu Madhavi","","","14-06-1986",Na,"Actress","Desingu_Raja,Kalukkuray_Maaplay,Avakai_Biryani,Rama_Rama_Krishna_Krishna,Pilla_Zamindar,Bumper_Offer,Veppam,Sattam_Oru_Iruttarai_(2012_film),Vasantha_Kumaran,Kazhugu_(2012_film),Kedi_Billa_Killadi_Ranga,Oru_Kanniyum_Moonu_Kalavaanikalum,Haiku_(2015_film),Savaale_Samaali,Tamizhuku_En_Ondrai_Azhuthavum"
"68","Bipasha Basu","","","7/1/1979",Na,"","Footpath_(2003_film),Race_(2008_film),Takkari_Donga,Dhan_Dhana_Dhan_Goal,Aatma_(film),Singh_Is_Bling,Shob_Charitro_Kalponik,Dum_Maaro_Dum_(film),Jodi_Breakers,Creature_3D,Raaz_3D,The_Lovers_(2013_film),Rudraksh_(film),Mere_Yaar_Ki_Shaadi_Hai,Lamhaa,Omkara_(2006_film),No_Entry,Ajnabee_(2001_film),Raaz_(2002_film),Jaane_Hoga_Kya,Shikhar_(film),Jism_(2003_film),Pankh,Barsaat_(2005_film),Aetbaar,Darna_Zaroori_Hai,Ishq_Hai_Tumse,Madhoshi,Rakht,All_the_Best:_Fun_Begins,Humshakals,Corporate_(film),Nehlle_Pe_Dehlla,Aakrosh_(2010_film),Dhoom_2,Apaharan,Humko_Deewana_Kar_Gaye,Phir_Hera_Pheri,Bachna_Ae_Haseeno,Zameen_(2003_film),Sachein,Players_(film),Aa_Dekhen_Zara,Chor_Machaaye_Shor"
"69","Brahmanandam","","","1/2/1956",Na,"","Swarabhishekam,Mogudu_Pellam_O_Dongodu,Vikramarkudu,Brahmanandam_Drama_Company,Loukyam,Sher_(film),Aadivaram_Adavallaku_Selavu,Mirchi_(film),Snehituda...,Athadu,Bobby_(2002_film),Major_Chandrakanth_(1993_film),Radha_Gopalam,Gangmaster_(film),Palnati_Pourusham,Anaganaga_Oka_Roju,Dongodu,143_(film),Bombay_Priyudu,Harischandraa,Kodanda_Ramudu,Maa_Pelliki_Randi,Premaku_Swagatam,Pandaga_Chesko,Aha_Naa_Pellanta_(1987_film),Ready_(2008_film),Premabhishekam_(2008_film),Gajibiji,Money_Money,_More_Money,Attarintiki_Daredi,Jaffa_(2013_film),Aagadu,Hero_(2008_film),Bhajantrilu,Hungama_(2005_film),Donga_Sachinollu,Hare_Ram,Khaleja,Alluda_Majaka,Dhee,Babai_Hotel,Kaasi,Raju_Bhai,Bahumati,Bhagyalakshmi_Bumper_Draw,Little_Soldiers,Yamaleela,Lakshmi_Putrudu,Ninna_Nedu_Repu,Kick_(2009_film),Malli_Malli_Chudali,Prayanam_(2009_film),Priya_O_Priya,Rebel_(2012_film),Chiru_Navvuto,Kante_Koothurne_Kanu,Daggaraga_Dooramga,Rabhasa,Backbench_Student,Mukunda,Baava,Dookudu,Chitram_Bhalare_Vichitram,Tholi_Muddhu,Arya_2,Aahvaanam,Anandam,Amma_Rajinama,Welcome_Back_(film),Satyam_(2008_film),Alibaba_Aradajanu_Dongalu,Something_Something_(film),Untitled_Sudheer_Varma_project,Katha_Screenplay_Darsakatvam_Appalaraju,Dohchay,S/O_Satyamurthy,Erra_Sainyam,Aayudham_(2003_film),Yamaleela_2,Premaku_Velayera,Srimanthudu"
"70","Brinda Parekh","","Brinda Parekh","3/11/1984",Na,"","Manmadhan_(film),Guru_En_Aalu"
"71","Catherine Tresa","","Catherine Tresa Alexandar","",Na,"","Erra_Bus,Madras_(film),Godfather_(2012_film),Chammak_Challo_(film),The_Thriller,Paisa_(film),Iddarammayilatho,Kanithan,Rudramadevi_(film)"
"72","Chandini Tamilarasan","","","",Na,"Film actor","Naan_Rajavaga_Pogiren,Siddhu_+2,Palaandu_Vaazhga,Vil_Ambu"
"73","Charle","","Manohar Velmurugan Thangasamy","6/3/1960",Na,"","Dharmathin_Thalaivan,Mella_Thirandhathu_Kadhavu,Ennavale,Pandavar_Bhoomi,Poikkal_Kudhirai,Unnal_Mudiyum_Thambi,Kanave_Kalaiyadhe,Raman_Abdullah,Mudhal_Kural,Vanna_Kanavugal,Mazhai,Thangamani_Rangamani,Anney_Anney,Kalyana_Agathigal,Alaudin,Thenkasi_Pattanam,MGR_Nagaril,Karuvelam_Pookkal,Poove_Unakkaga,Unnai_Ninaithu,Aanazhagan,Kilipetchu_Ketkava,Vetri_Kodi_Kattu,Ayya_(2005_Tamil_film),Singaravelan,Senthamizh_Selvan,Aankalai_Nambathey,Mounam_Sammadham,Naam_Iruvar_(1985_film),Ore_Oru_Gramathiley,Sir...I_Love_You,Ore_Oru_Gramathile"
"74","Charmy Kaur","","Charmi Kaur","17-05-1987",Na,"","Pournami_(2006_film),Allari_Pidugu,Lava_Kusha_(2007_film),Bbuddah..._Hoga_Terra_Baap,Kadhal_Kisu_Kisu,Kattuchembakam,Thappana,Aahaa_Ethanai_Azhagu,Laadam,Kavya's_Diary,Zila_Ghaziabad,Gowri_(film),Prema_Oka_Maikam,Jyothi_Lakshmi_(film)"
"75","Charuhasan","","","",Na,"","Vedham_Pudhithu,Oru_Thayin_Sabhatham,Oru_Kalluriyin_Kathai,Ayiram_Muthangal,Matru_Devo_Bhava,Vachanam,Thendral_Sudum,Adharvam,Raghuvinte_Swantham_Raziya,Ethanai_Konam_Ethanai_Parvai,Tabarana_Kathe,Kunthapura"
"76","Chaya Singh","","Chaya Singh","16-05-1981",Na,"","Police_(2005_film),Vallamai_Tharayo,Jaisurya,Ki_Kore_Bojhabo_Tomake,Idhu_Kathirvelan_Kadhal,Munnudi,Simply_Kailawesome"
"77","Cheran (director)","","சேரன்,Cheran","12/12/1970",Na,"","Maya_Kannadi,Appavin_Meesai,Solla_Marandha_Kadhai,Aadum_Koothu,Pirivom_Santhippom,Yuddham_Sei,Muran_(film),Chennaiyil_Oru_Naal,Raman_Thediya_Seethai,Moondru_Per_Moondru_Kadal,Thavamai_Thavamirundhu"
"78","Chinni Jayanth","","Krishnamurthy Narayanan","26-07-1960",Na,"","Uzhavan,Kanave_Kalaiyadhe,Nangal_Puthiyavargal,Pondatti_Rajyam,Anbu_Thollai,Idhayam_(film),Kizhakku_Vasal,Kaaval_Geetham,Mounam_Kalaikirathu,Iyarkai,Aanazhagan,Enga_Thambi,Kannedhirey_Thondrinal,Vasanthi,En_Thamizh_En_Makkal,Enga_Raasi_Nalla_Raasi,Uyire_Unakkaga"
"79","Chitti Babu (actor)","8/11/2013","Sajjadh Adeebh","10/1/1964",Na,"","Kusthi"
"80","Cho Ramaswamy","","","5/10/1934",Na,"","Guru_Sishyan_(1988_film),Andharangam,Cinema_Paithiyam,Muhammad_bin_Tughluq_(film),Kanavan,Aarilirunthu_Arubathu_Varai,Maattukara_Velan,Adimaippenn,Paar_Magale_Paar,Ayiram_Poi,Sange_Muzhangu,Naan_Mahaan_Alla_(1984_film),Oli_Vilakku,Suryakanthi,Kumari_Kottam,Anbai_Thedi,Enga_Mama,Rojavin_Raja,Ganga_Gowri_(1973_film),Lakshmi_Kalyanam_(1968_film),Nirai_Kudam,Puthiya_Theerppu,Avanthan_Manithan,Thavapudhalavan"
"81","Cochin Haneefa","2/2/2010","","22-04-1951",Na,"","Narendran_Makan_Jayakanthan_Vaka,C.I.D._Moosa,Chathikkatha_Chanthu,Keerthi_Chakra_(film),Valathottu_Thirinjal_Nalamathe_Veedu,Thirakkatha,Kadathanadan_Ambadi,Daivanamathil,Bamboo_Boys,Azhakiya_Ravanan,Chanakya_(film),Megham,Lelam,Ambasamudram_Ambani,Something_Something..._Unakkum_Enakkum,Mahanadi_(film),Mayilpeelikkavu,C._I._Mahadevan_5_Adi_4_Inchu,Anandabhadram,Chandrolsavam,Kilichundan_Mampazham,Vayal,Yudhabhoomi,Kaathirunna_Divasam,Kaathirunna_Divasom,Thuruppugulan_(2006_film),Oru_Sindoora_Pottinte_Ormaykku,Bhookambam,Velicham_Akale,Adukkala_Rahasyam_Angaadi_Paattu,Deepavali_(2007_film)"
"82","Daisy Bopanna","","ಡೈಸಿ ಬೋಪಣ್ಣ,Daisy Bopanna","",Na,"Actress","Rama_Shama_Bhama,Thavarina_Siri,Crazy_Loka,Gaalipata,Chanti_(film),Chakkara_Viyugam,Garam_Masala_(2005_film),Khuda_Kasam,United_Six"
"83","Daniel Balaji","","","",Na,"","Kaadhal_Kondein,Vettaiyaadu_Vilaiyaadu_(2006_film),Muthirai,Polladhavan_(2007_film),Vai_Raja_Vai"
"84","Deeksha Seth","","","14-02-1990",Na,"","Lekar_Hum_Deewana_Dil,Vettai_Mannan,Uu_Kodathara%3F_Ulikki_Padathara%3F,Rajapattai,Rebel_(2012_film),Wanted_(2011_film),Nippu,Vedam_(film)"
"85","Deepika Padukone","","","",Na,"","Housefull_(2010_film),Khelein_Hum_Jee_Jaan_Sey,Piku,Tamasha_(film),Love_Aaj_Kal,Yeh_Jawaani_Hai_Deewani,Cocktail_(2012_film),Finding_Fanny,Race_2,Chandni_Chowk_to_China,Break_Ke_Baad,Aarakshan,Happy_New_Year_(2014_film),Lafangey_Parindey,Chennai_Express,Om_Shanti_Om,Desi_Boyz,Bachna_Ae_Haseeno,Karthik_Calling_Karthik,Goliyon_Ki_Raasleela_Ram-Leela,Bajirao_Mastani_(film),Finding_Fanny_Fernandes"
"86","Delhi Ganesh","","Ganesan","1/8/1944",Na,"","Moondru_Mugam,Polladhavan_(1980_film),Sivappu_Sooriyan,Kunguma_Chimil,Apoorva_Sagodharargal_(1989_film),December_Pookal,Kadamai_Kanniyam_Kattupaadu,Unnal_Mudiyum_Thambi,Junior_Senior_(2002_film),Arasu_(2003_film),Raman_Abdullah,Chinna_Marumagal,Poi_Solla_Porom,Vaamanan,Kalyana_Agathigal,Middle_Class_Madhavan,Hemavin_Kadhalargal,Chellamay,Bhavani_IPS,Aayiram_Vilakku,Sethupathi_IPS,Unnai_Ninaithu,Ambasamudram_Ambani,Aanazhagan,Cheena_Thaana_001,Arai_En_305-il_Kadavul,Chidambara_Rahasiyam_(film),Arasatchi,Pudhiya_Mannargal,Maasilamani,Michael_Madana_Kama_Rajan,Sabash_Sariyana_Potti"
"87","Devadarshini","","Devadarshini Sukumaran","",Na,"","Muni_2:_Kanchana,Parthiban_Kanavu_(2003_film)"
"88","Devayani (actress)","","Devayani Jayadev","22-06-1974",Na,"","Friends_(2001_film),Giri_(film),Bharathi_(film),Aanandham,Premotsava,Thenali,En_Purushan_Kuzhandhai_Maadhiri,Kottai_Mariamman,Kummi_Paattu,Poonthottam,Thotta_Chinungi,Oruvan,Kadhal_Kottai,Kalloori_Vaasal,Nee_Varuvai_Ena,Thodarum,Suswagatham,Ninaithen_Vandhai,Ainthaam_Padai,Naran_(film),Vivasaayi_Magan,Poomani_(film),Kakkakum_Poochakkum_Kalyanam,Shrimati_Vellosta"
"89","Devika","2/5/2002","Prameela Devi","25-04-1943",Na,"","Anandha_Jodhi,Nenjil_Or_Aalayam,Nenjam_Marappathillai,Tara_Sasankam,Sumaithaangi,Shri_Krishnavataram,Mahamantri_Timmarusu_(film),Karnan_(film),Rakta_Sambandham_(1962_film),Batasari,Manamagan_Thevai,Papam_Pasivadu,Rechukka,Bale_Pandiya_(1962_film),Shri_Krishnanjaneya_Yuddham,Saraswati_Sabatham,Chitti_Tammudu,Andavan_Kattalai,Pava_Mannippu,Satyam_(1976_film),Dakshayagnam_(1962_film),Annai_Illam,Bandha_Pasam,Muradan_Muthu,Neela_Vanam,Anbu_Karangal,Kulamagal_Radhai,Santhi_(1965_film),Kattupookkal,Vanambadi,Shanthi_Nivasam,Pulliman_(1972_film),Pazhani_(1965_film)"
"90","Dhamu","","","",Na,"","Parthen_Rasithen,Kanave_Kalaiyadhe,Ghilli,Thotta,Alaudin,Arputham,Aanazhagan,Thulladha_Manamum_Thullum,Pudhiya_Mannargal"
"91","Dhansika","","","",Na,"","Ya_Ya_(film),Paradesi_(2013_film),Peranmai,Vizhithiru,Aravaan"
"92","Dhanush","","Venkatesh Prabhu Kasthuri Raja","28-07-1983",Na,"","Parattai_Engira_Azhagu_Sundaram,Adhu_Oru_Kana_Kaalam,Pudhukottaiyilirundhu_Saravanan,Aadukalam,Padikkadavan_(2009_film),Naiyaandi,Shamitabh,Thiruvilaiyaadal_Aarambam,Anegan,Devathayai_Kanden,Uthamaputhiran_(2010_film),Yaaradi_Nee_Mohini,Raanjhanaa,Mappillai_(2011_film),Thiruda_Thirudi,Seedan,Dreams_(2004_film),Pudhupettai,Polladhavan_(2007_film),3_(2012_Indian_film),Venghai,Maryan_(film),Thulluvadho_Ilamai,Mayakkam_Enna,Maari_(film),Untitled_Velraj_Project"
"93","Dhivyadharshini","","Dhivyadharshini Neelakandan","17-02-1985",Na,"","NA,"
"94","Dinesh Ravi","","Dinesh Ravi","",Na,"","NA,"
"95","Disha Pandey","","","",Na,"","Bolo_Raam,Thamizh_Padam,Jai_Lalitha,Race_(2013_film),Mayanginen_Thayanginen,Manasunu_Maaya_Seyake"
"96","Divya Unni","","","2/9/1981",Na,"","Palayathu_Amman,Karunyam,Pranayavarnangal,Kannan_Varuvaan,Sabhash,Vedham,The_Truth_(1998_film),Aakasha_Ganga,Oru_Maravathoor_Kanavu,Nee_Varuvolam,Upadeshiyude_Makan,Ayushman_Bhava,Katha_Nayagan_(1997_film)"
"97","Dulquer Salmaan","","","",Na,"Film actor,Playback singer","Vikramadithyan,Neelakasham_Pachakadal_Chuvanna_Bhoomi,Pattam_Pole,Second_Show,ABCD:_American-Born_Confused_Desi,5_Sundarikal,Bangalore_Days,Theevram,Salalah_Mobiles,Ustad_Hotel,Okay_Kanmani,Njaan,O_Kadhal_Kanmani,100_Days_of_Love"
"98","Easwari Rao","","Easwari Rao","",Na,"","Virumbugiren"
"99","Elango Kumaravel","","","",Na,"","Dharani_(film)"
"100","Esha Deol","","Esha Dharmendra Deol","2/11/1981",Na,"Actor","One_Two_Three,Shaadi_No._1,Dus,Pyaar_Mein_Twist,Kyaa_Dil_Ne_Kahaa,Yuva,Pyare_Mohan,Darling_(2007_Indian_film),No_Entry,Cash_(2007_film),Koi_Mere_Dil_Se_Poochhe,Kucch_To_Hai,Ankahee_(2006_film),Just_Married_(2007_film),Insan,Dhoom,Tell_Me_O_Kkhuda,Aaytha_Ezhuthu,Na_Tum_Jaano_Na_Hum,LOC_Kargil,Main_Aisa_Hi_Hoon,Kaal"
"101","Farjana","","","",Na,"Actress,Choreographer,Model (person)","Bommana_Brothers_Chandana_Sisters,Gajibiji,Seema_Sastri,Bhagyalakshmi_Bumper_Draw"
"102","G. V. Prakash Kumar","","","",Na,"","Pencil_(film),Trisha_Illana_Nayanthara,Darling_(2015_film)"
"103","Gajala","","","",Na,"","Madrasi_(2006_film),Durai_(film),Raam_(2005_film),Ezhumalai,Nee_Venunda_Chellam,University_(film),Kalusukovalani,Raman_Thediya_Seethai,Allari_Ramudu,Student_No.1,Thotti_Gang"
"104","Ganesh Venkatraman","","Ganesh Venkatraman","",Na,"","Unnaipol_Oruvan_(2009_film),Kandahar_(2010_film),Panithuli,The_Angrez,Abhiyum_Naanum,Hum_Hai_Raahi_Car_Ke"
"105","Ganeshkar","","","",Na,"","NA,"
"106","Ganja Karuppu","","","5/1/1976",Na,"","Pidichirukku,Pandi_(film),Raam_(2005_film),Kalvanin_Kadhali_(2006_film),Sivappathigaram,Aval_Peyar_Thamizharasi,Irandu_Mugam,Sindhu_Samaveli,Vallakottai_(film),Mirugam,Subramaniapuram,Aayiram_Vilakku,Thenavattu,Arai_En_305-il_Kadavul,Sivakasi_(film),Vamsam,Paruthiveeran,Malayan_(film),Naadodigal,Siddhu_+2,Inba_(film),Panchamirtham_(film)"
"107","Gautami Tadimalla","","Gautami Tadimalla","",Na,"Actress","Namma_Ooru_Poovatha,Anna_(1994_film),Ponnuketha_Purushan,Sankalpam,Papanasam_(film)"
"108","Gautham Karthik","","","12/9/1989",Na,"","Sippai,Yennamo_Yedho,Indrajith_(film),Vai_Raja_Vai,Rangoon_(film)"
"109","Gautham Menon","","","25-02-1973",Na,"","NA,"
"110","Gayathri Raguram","","","",Na,"Film actor","Whistle_(2003_film),Vai_Raja_Vai"
"111","Gayathrie","","Gayathrie Shankar","",Na,"Film actress","Ula_(film),Mellisai"
"112","Gayatri Jayaraman","","","27-09-1984",Na,"","April_Maadhathil,Swamy_(film),Lokanathan_IAS,Njan_Salperu_Ramankutty,Manadhai_Thirudivittai,Shree_(2002_film),Neela_(film)"
"113","Geetha (actress)","","Geetha","",Na,"","Bairavi,Garjanai,Keladi_Kanmani,Kadamai_Kanniyam_Kattupaadu,Vrutham,Kuruppinte_Kanakku_Pustakom,Sayam_Sandhya,Aavesha,Abhimanyu_(1991_film),Devatha_Manushya,Dhruva_Thare,Shruthi_Seridaaga,Vatsalyam,Lal_Salam_(1990_film),Vaisali_(film),Peruvazhiyambalam,Patnam_Vachina_Pativrathalu,Thodu_Dongalu_(1981_film),Tingu_Rangadu,Thalastaanam,Panchagni,Kshamichu_Ennoru_Vakku,Sukhamo_Devi,Kaliyugam_(1988_film),Something_Something..._Unakkum_Enakkum,Okkadu,Sivakasi_(film),Karthika_Deepam_(film),Aadhaaram,Nair_Saab,Dharma_Seelan,Anuraga_Aralithu,Iyer_the_Great,Amrutham_Gamaya,Bharanakoodam,Janam_(film),Mahaan_(1992_film),Daada,Giri_Baale,Hrudaya_Pallavi,Mareyada_Manikya,Mrugaalaya,Nigooda_Rahasya,Aaradhane,Athirathan_(film),Kinnaram_Cholli_Cholli,Mohana_Punnagai,Madhuri_(film),Ramapurada_Ravana,Veeradhi_Veera,Theruvu_Narthaki,Innaleyude_Baakki,Mouryan,Radha_Madhavam,En_Vazhi_Thani_Vazhi_(1988_film),City_Police_(film),Ezharakoottam,Prayikkara_Pappan,Kunjikuruvi,Sabarimala_Sree_Ayyappan,Dominic_Presentation_(film),Goonda_Guru,Street_(film),Sreeragam,Nenapina_Doni,Mamatheya_Madilu,Mithileya_Seetheyaru,Chief_Minister_K._R._Gowthami,Allullostunnaru,Urudhi_Mozhi,Kuruthipunal_(film)"
"114","Geetu Mohandas","","Gayathri Mohandas","14-02-1981",Na,"","Nala_Damayanthi,Aakasha_Gopuram,Naalu_Pennungal,Life_Is_Beautiful_(2000_film),En_Bommukutty_Ammavukku"
"115","Gemini Ganesan","22-03-2005","Ganapathi Subramania Sarma","17-11-1920",Na,"","Avvaiyar_(film),Kurathi_Magan,Naam_Pirandha_Mann,Naan_Avanillai_(1974_film),Paadha_Kannikkai,Pasamalar,Iru_Kodugal,Naam_Iruvar_Namakku_Iruvar,Aathi_Parasakthi,K%C3%A1thirunda_Kangal,Penn_(film),Rudraveena_(film),Raj_Tilak_(1958_film),Shanti_Nilayam,Unakkaga_Naan,Mugaraasi,Ramu_(1966_film),Then_Nilavu,Devta_(film),Miss_Mary_(1957_film),Sumaithaangi,Ponmana_Selvan,Aana_Valarthiya_Vanampadiyude_Makan,Karutha_Rathrikal,Kumara_Sambhavam,Swami_Ayyappan_(1975_film),Annai_Velankanni,Miss_Malini,Kaalamellam_Kadhal_Vaazhga,Kalyana_Parisu,Kappalottiya_Thamizhan,Thai_Mozhi,Thodarum,Avalukendru_Oru_Manam,Poova_Thalaiya,Bhale_Ramudu,Vanjikottai_Valiban,Vallavanukku_Vallavan,Jesus_(1973_film),Avvai_Shanmughi,Paarthaal_Pasi_Theerum,Konjum_Salangai,Marma_Veeran,Nazrana_(1961_film),Velli_Vizha,Parthiban_Kanavu_(1960_film),Ponniyin_Selvan_(1958_film),Saraswati_Sabatham,Padhi_Bhakti,Pennin_Perumai,Kalathur_Kannamma,Veerapandiya_Kattabomman_(film),Pava_Mannippu,Bandha_Pasam,Ganga_Gowri_(1973_film),Kairasi,Thiruvarutchelvar,Panithirai,Chitthi,Ethirkalam,Ezhai_Pangalan,Sadhaaram,Sandharbha,Manaalane_Mangaiyin_Baakkiyam,Panama_Pasama"
"116","Genelia D'Souza","","Genelia D'Souza","5/8/1987",Na,"","Hook_Ya_Crook,Katha_(2009_film),Sye_(2004_film),Sasirekha_Parinayam_(film),Velayudham,Boys_(2003_film),Ready_(2008_film),Mere_Baap_Pehle_Aap,Naa_Ishtam,Uthamaputhiran_(2010_film),Rock_the_Shaadi,Force_(2011_film),Life_Partner,Naa_Alludu,Dhee,Orange_(2010_film),Satyam_(2003_film),Urumi_(film),Bommarillu,Subash_Chandra_Bose_(film),Santosh_Subramaniam,Happy_(2006_film),Raam_(2006_film),Mr._Medhavi,Sachein,Chance_Pe_Dance,Samba_(2004_film)"
"117","Girija (actress)","","","",Na,"","Jagadeka_Veeruni_Katha,Preminchi_Choodu,Lakshadhikari,Ramudu_Bheemudu,Vagdanam,Appu_Chesi_Pappu_Koodu,Illarikam,Velugu_Needalu,Manchi_Manasuku_Manchi_Rojulu,Sri_Simhachala_Kshetra_Mahima,Doctor_Chakravarti,Manaalane_Mangaiyin_Baakkiyam"
"118","Girish Karnad","","","19-05-1938",Na,"","Naan_Adimai_Illai,Akarshan,Chellamae,Shankar_Dada_M.B.B.S.,Vamsha_Vriksha,Antarnaad,Mysore_Mallige_(film),Jeevan_Mukt,Tananam_Tananam,Iqbal_(film),Tarang_(film),Ek_Baar_Chale_Aao,Kadhalan,Aashayein,Mil_Gayee_Manzil_Mujhe,Dor_(film),Zamana_(film),Samskara_(film),Hey_Ram,Dhanam_(2008_film),Yaare_Koogadali,Teri_Kasam,Umbartha,Manthan,The_Prince_(1996_film),Swami_(1977_film),Anveshane,Nishant_(film),Bayen_Hath_Ka_Khel,Aparoopa,Kempe_Gowda_(film),Rana_Vikrama,Nee_Thanda_Kanike,Ananda_Bhairavi_(film),Neela_Kurinji_Poothappol,Gunaa,Nenapina_Doni"
"119","Gopika","","Girly Anto","21-08-1984",Na,"","Chanthupottu,Veruthe_Oru_Bharya,The_Tiger_(2005_film),Keerthi_Chakra_(film),Thotti_Jaya,Velli_Thirai,Veerappu,Pothan_Vava,Ponniyin_Selvan_(2005_film),Mayavi_(2007_film),Vesham,Autograph_(2004_film),Swantham_Lekhakan,Kana_Kandaen,The_Don_(2006_film),Emmtan-Magan,Ali_Bhai,Naa_Autograph,4_the_People,Nerariyan_CBI,Bharya_Athra_Pora,Janmam"
"120","Goundamani","","Subramani Karuppaiya","",Na,"Film actor","Ejamaan,Mannan_(film),Mr._Bharath,Vandicholai_Chinraasu,Chinna_Vathiyar,Suriyan,Idaya_Kovil,December_Pookal,Manmadhan_(film),Parasuram_(2003_film),Aanandha_Kummi,Aayiram_Pookkal_Malarattum,Alai_Osai,Amman_Kovil_Thiruvizha,Namma_Ooru_Poovatha,Anjatha_Singam,Athaimadi_Methaiadi,Chinna_Thambi,Lucky_Man_(film),Puthiya_Vaarpugal,Valibamey_Vaa_Vaa,Nadigan,Pangali,Vaathiyaar_Veettu_Pillai,Velai_Kidaichuduchu,Muthukulikka_Vaariyala,Raja_Enga_Raja,Vasanthakala_Paravai,49-O_(film),Anbu_Kattalai,Rajathi_Rojakili,Ethirum_Pudhirum,Thangam,Kannan_Varuvaan,Kunguma_Pottu_Gounder,Vedham,Chinna_Gounder,Kannaal_Pesavaa,Ponmana_Selvan,Vaidehi_Kathirunthal,Cheran_Pandiyan,Sethupathi_IPS,Coolie_(1995_film),Thalattu,Japanil_Kalyanaraman,Baba_(2002_film),Nesam,Rettai_Jadai_Vayasu,Sigappu_Rojakkal,Unakkaga_Ellam_Unakkaga,Piranthaen_Valarnthaen,Vallal,Pudhayal,Vietnam_Colony_(1994_film),Agaya_Gangai_(film),Anandha_Ragam,Gnanapazham,Ilanjodigal,Mamiyara_Marumagala,Mangala_Nayagi,Mullillatha_Roja,Nenjile_Thunivirunthal,Pakkathu_Veetu_Roja,Malaiyoor_Mambattiyan,Kallukkul_Eeram,Singaravelan,Band_Master,Janakiraman,Karnaa,Mannava_(film),Vaaimai,Pollachi_Mappillai,Samudhiram,En_Uyir_Nee_Thaane,Kaadhal_Oviyam,Naalai_Unathu_Naal,Manasukketha_Maharasa,Avan_(1985_film),Marudhani,Naane_Raja_Naane_Mandhiri,Padicha_Pulla,Raman_Sreeraman,Thedi_Vandha_Raasa,Themmangu_Paattukaaran,Thangamana_Raasa,Maaman_Magal_(1995_film),Ooru_Vittu_Ooru_Vanthu,Kottai_Vaasal,Karpoora_Deepam,Enga_Ooru_Rasathi,Karimedu_Karuvayan,Ponnu_Pudichirukku,Gentleman_(1993_film),Naalaya_Seidhi"
"121","Gowri Munjal","","Gowri Munjal","6/6/1985",Na,"","Singakutty,Bunny_(2005_film),Gopi_–_Goda_Meedha_Pilli,Thottal_Poo_Malarum,Bangaru_Babu_(2009_film),Paleri_Manikyam:_Oru_Pathirakolapathakathinte_Katha_(film),Race_(2011_film),Namma_Basava,Gopi_%E2%80%93_Goda_Meedha_Pilli"
"122","Hamsavardhan","","Hamsavardhan","",Na,"Actor","Junior_Senior_(2002_film)"
