"","title","dod","name","born","awards","Occupation","Filmography"
"52","B. Saroja Devi","","","7/1/1945",Na,"","Aasai_Mugam,Dharmam_Thalai_Kaakkum,En_Kadamai,Kalangarai_Vilakkam,Maadappura,Needhikkuppin_Paasam,Paasam,Padagotti,Panakkara_Kudumbam,Panathottam,Thirudadhe,Aadhavan,Daana_Veera_Soora_Karna,Paigham,Sasural_(1961_film),Jagadeka_Veeruni_Katha,Sabaash_Meena,Paarambariyam,Kittur_Chennamma_(film),Arasa_Kattalai,Naan_Aanaiyittal,Petralthan_Pillaiya,Thenum_Paalum,Palum_Pazhamum,Nyayave_Devaru,Opera_House_(1961_film),Ponmana_Selvan,Mallammana_Pavaada,Rahasyam_(1967_film),Puthiya_Paravai,Kalyana_Parisu,Nadodi_(1966_film),Parakkum_Paavai,Periya_Idathu_Penn,Panduranga_Mahatyam_(film),Paarthaal_Pasi_Theerum,Nadodi_Mannan_(1958_film),Sri_Ramanjaneya_Yuddham,Irumbu_Thirai,Bhaaga_Pirivinai,Mahakavi_Kalidasa,Aalayamani,Thaali_Bhagyam,Anbe_Vaa,Sri_Krishnarjuna_Yuddham,Jagajyothi_Basveshwara,Kudumba_Thalaivan,Thaai_Sollai_Thattadhe,Devasundari,Kalyaniyin_Kanavan,Valar_Pirai,Panithirai,Anjal_Petti_520,Th%C3%A1yai_K%C3%A1tha_Thanayan,En_Thambi,Panama_Pasama"
"53","Bala (actor)","","Bala Kumar","19-12-1982",Na,"","Puthiya_Mukham,Anbu_(2003_film),Alexander_the_Great_(2010_film),Chaverpada,SMS_(2008_film),Kalinga_(film),Veeram,Kadhal_Kisu_Kisu,Hero_(2012_film),Cowboy_(2013_film),Chempada,Musafir_(2013_film),Manjal_Veiyil,Big_B_(film),Black_Stallion_(film),Avan_(film),The_Hit_List_(2012_Indian_film),Makaramanju,Sthalam,Sound_of_Boot"
"54","Bala Saravanan","","பாலா சரவணன்","2/11/1987",Na,"","Pannaiyarum_Padminiyum,Thirudan_Police,Aaaah,Darling_(2015_film)"
"55","Bala Singh","","","",Na,"Actor","NA,"
"56","Bentley Mitchum","","","22-02-1967",Na,"Actor,Film director,Screenwriter","Demonic_Toys,Shark_Attack_(film),Different_Strokes_(film),Susie_Q_(film)"
"57","Bhama","","ഭാമ,Rekitha Rajendra Kurup","23-05-1988",Na,"","Ivar_Vivahitharayal,Shyloo,Auto_Raja_(2013_film),Husbands_in_Goa,Appayya,Naku_Penta_Naku_Taka,Barfi_(film),Ambara,Cycle_(film),Ellam_Avan_Seyal,Swapna_Sanchari,Ondu_Kshanadalli,Sevarkodi,D_Company_(film),College_Days,Ramanujan_(film),Kadhaveedu,100_Degree_Celsius,Nivedyam_(2007_film),Mathai_Kuzhappakkaranalla,Konthayum_Poonoolum"
"58","Bhanumathi Ramakrishna","24-12-2005","","7/9/1925",Na,"","Kaanchi_Thalaivan,Kalai_Arasi,Raja_Desingu,Apoorva_Sagodharargal_(1949_film),Laila_Majnu_(1949_film),Ippadiyum_Oru_Penn,Kannukku_Mai_Ezhuthu,Mattilo_Manikyam,Raja_Bakthi,Palnati_Yuddham_(1966_film),Mangammagari_Manavadu,Nallathambi,Chandirani,Ambikapathy_(1957_film),Kalvanin_Kadhali_(1955_film),Makkalai_Petra_Magarasi,Malliswari_(1951_film),Alibabavum_40_Thirudargalum_(1956_film),Malaikkallan,Nadodi_Mannan_(1958_film),Raja_Mukthi,Ratnakumar,Thaikkupin_Tharam,Antastulu,Madurai_Veeran_(1956_film),Vara_Vikrayam_(film),Chakrapani,Prema_(film),Krishna_Prema,Bobbili_Yuddham,Swarga_Seema,Sarangadhara_(1957_film),Rangoon_Radha,Sarangadhara_(1958_film),Pelli_Kanuka,Tatamma_Kala"
"59","Bhanupriya","","Manga Bhama","",Na,"","Chhatrapati_(film),Dosti_Dushmani,Pedarayudu,Tamacha,Uzhavan,Anveshana,Chellamae,Hridayathil_Sookshikkan,Gowtam_SSC,Khaidi_No.786,Maharasan,Rathri_Mazha,Aahaa,Bhabhi_(1991_film),Mella_Pesungal,Annamayya_(film),Srinivasa_Kalyanam,Sundara_Kandam,Bramma,Pangali,People's_Encounter,Swarnakamalam,Garibon_Ka_Daata,Simhadriya_Simha,Suryaa:_An_Awakening,Azhakiya_Ravanan,Mar_Mitenge,Zahreelay,Magudam,Trinetrudu,Khudgarz,Jebu_Donga,Sitaara,Kattalai_(film),Jai_(2004_Tamil_film),Insaf_Ki_Pukar,State_Rowdy,Jayam_Manadera,Dav_Pech,Sirayil_Pootha_Chinna_Malar,Allari_Krishnaiah,Palnati_Puli,Ashoka_Chakravarthy,Tiragabadda_Telugubidda,Thalaimurai,Chakravarthy_(1987_film),Kulam_(film),Rajashilpi,Anasuyamma_Gari_Alludu,Bharatamlo_Bala_Chandrudu,Aalaapana"
"60","Bharath","","","21-07-1983",Na,"","Chellamae,Koodal_Nagar,Veyil,Muniyandi_Vilangial_Moonramandu,Aindhaam_Thalaimurai_Sidha_Vaidhiya_Sigamani,February_14_(film),Nepali_(film),Ainthu_Ainthu_Ainthu,Kanden_Kadhalai,Killadi,Azhagai_Irukkirai_Bayamai_Irukkirathu,Chennai_Kadhal,Vaanam,Pattiyal,Arumugam_(film),Koothara,Emmtan-Magan,Pazhani_(film),Seval,Lord_Livingstone_7000_Kandi"
"61","Bharath Reddy","","","",Na,"","NA,"
"62","Bharathi Vishnuvardhan","","","15-08-1950",Na,"","Mazhathullikkilukkam,Mayor_Muthanna,Doorada_Betta,Yuddha_Kaanda,Nadodi_(1966_film),Oru_Yathramozhi,Janma_Rahasya,Bangaarada_Manushya,Neramu_Siksha,Bangarada_Jinke,Achan_Kombath_Amma_Varambath,Anna_Attige,Bhagya_Jyothi,Naane_Bhagyavati,Jeevana_Jokali,Maneye_Manthralaya,Shanthi_Nivasa,Manassakshi,Nil_Gavani_Kadhali,Mane_Belagida_Sose,Prathima,Love_In_Bangalore,Rahasya_Rathri,Kaveri_(1975_film),Nagara_Hole,Amma_(1968_film),Manini_(film),Doddmane_Hudga,Urudhi_Mozhi,Sandharbha,Beedi_Basavanna,Gange_Gowri,Makkala_Bhagya"
